ROI,Group,Cells per region -- Cell counts in Red pulp - Cell,Cells per region -- Cell counts in White pup - Cell,Cells per 100 sqr. pixels of Red pulp -- Cell,Cells per 100 sqr. pixels of White pup -- Cell,Percent of cell type in region -- Distribution of Cell in Red pulp,Percent of cell type in region -- Distribution of Cell in White pup,Percent of total cells in region -- Composition of Red pulp - Cell,Percent of total cells in region -- Composition of White pup - Cell,Av. Distance within Red pulp -- Cell to Cell,Av. Distance within White pup -- Cell to Cell,Av. Neighbours under 20pixles in Red pulp -- Cell to Cell,Av. Neighbours under 20pixles in White pup -- Cell to Cell
ROI002,Control,1797,2129,48638.854946805,66402.6545295874,45.7717778909832,54.2282221090168,100,100,268.501457127611,169.087321887492,14.5486922648859,23.9736965711602
ROI004,Control,266,4833,20691.7757207084,102772.810410087,5.21670915865856,94.7832908413414,100,100,200.016636443086,242.919305341753,12.3007518796992,25.6937719842748
ROI006,Control,873,4028,36973.9375114976,95386.2512344911,17.8126912874924,82.1873087125077,100,100,214.826125799822,222.90442698085,16.3596792668958,26.4364448857994
ROI008,Test,2319,1140,57436.5435183983,49390.0022803163,67.0424978317433,32.9575021682567,100,100,245.728233457029,181.227583812157,14.6356188012074,20.0508771929825
ROI010,Test,1922,1802,51833.8048489086,60649.3407026652,51.6111707841031,48.3888292158969,100,100,238.806716821909,203.443843012964,14.3714880332986,22.8312985571587
ROI012,Test,2449,21,57997.3622518869,5995.10803016914,99.1497975708502,0.850202429149798,100,100,285.416209813568,162.192211114453,14.9211923233973,6.47619047619048
