Sample,Group,Percent of sample -- B cells,Percent of sample -- CD4 T cells,Percent of sample -- CD8 T cells,Percent of sample -- Eosinophils,Percent of sample -- gd T cells,Percent of sample -- Monocytes,Percent of sample -- Neutrophils,Percent of sample -- NK cells,Percent of sample -- Unknown,MFI of CD38_asinh -- B cells,MFI of CD38_asinh -- CD4 T cells,MFI of CD38_asinh -- CD8 T cells,MFI of CD38_asinh -- Eosinophils,MFI of CD38_asinh -- gd T cells,MFI of CD38_asinh -- Monocytes,MFI of CD38_asinh -- Neutrophils,MFI of CD38_asinh -- NK cells,MFI of CD38_asinh -- Unknown,MFI of HLA-DR_asinh -- B cells,MFI of HLA-DR_asinh -- CD4 T cells,MFI of HLA-DR_asinh -- CD8 T cells,MFI of HLA-DR_asinh -- Eosinophils,MFI of HLA-DR_asinh -- gd T cells,MFI of HLA-DR_asinh -- Monocytes,MFI of HLA-DR_asinh -- Neutrophils,MFI of HLA-DR_asinh -- NK cells,MFI of HLA-DR_asinh -- Unknown,Percent expressing CD38_asinh -- B cells,Percent expressing CD38_asinh -- CD4 T cells,Percent expressing CD38_asinh -- CD8 T cells,Percent expressing CD38_asinh -- Eosinophils,Percent expressing CD38_asinh -- gd T cells,Percent expressing CD38_asinh -- Monocytes,Percent expressing CD38_asinh -- Neutrophils,Percent expressing CD38_asinh -- NK cells,Percent expressing CD38_asinh -- Unknown,Percent expressing HLA-DR_asinh -- B cells,Percent expressing HLA-DR_asinh -- CD4 T cells,Percent expressing HLA-DR_asinh -- CD8 T cells,Percent expressing HLA-DR_asinh -- Eosinophils,Percent expressing HLA-DR_asinh -- gd T cells,Percent expressing HLA-DR_asinh -- Monocytes,Percent expressing HLA-DR_asinh -- Neutrophils,Percent expressing HLA-DR_asinh -- NK cells,Percent expressing HLA-DR_asinh -- Unknown,Percent expressing CD38_asinh and HLA-DR_asinh -- B cells,Percent expressing CD38_asinh and HLA-DR_asinh -- CD4 T cells,Percent expressing CD38_asinh and HLA-DR_asinh -- CD8 T cells,Percent expressing CD38_asinh and HLA-DR_asinh -- Eosinophils,Percent expressing CD38_asinh and HLA-DR_asinh -- gd T cells,Percent expressing CD38_asinh and HLA-DR_asinh -- Monocytes,Percent expressing CD38_asinh and HLA-DR_asinh -- Neutrophils,Percent expressing CD38_asinh and HLA-DR_asinh -- NK cells,Percent expressing CD38_asinh and HLA-DR_asinh -- Unknown,Percent expressing CD38_asinh or HLA-DR_asinh -- B cells,Percent expressing CD38_asinh or HLA-DR_asinh -- CD4 T cells,Percent expressing CD38_asinh or HLA-DR_asinh -- CD8 T cells,Percent expressing CD38_asinh or HLA-DR_asinh -- Eosinophils,Percent expressing CD38_asinh or HLA-DR_asinh -- gd T cells,Percent expressing CD38_asinh or HLA-DR_asinh -- Monocytes,Percent expressing CD38_asinh or HLA-DR_asinh -- Neutrophils,Percent expressing CD38_asinh or HLA-DR_asinh -- NK cells,Percent expressing CD38_asinh or HLA-DR_asinh -- Unknown
COVID-Mild_07,COVID-Mild,4.17310664605873,12.3647604327666,12.8284389489954,2.78207109737249,1.54559505409583,9.11901081916538,46.676970633694,10.0463678516229,0.463678516228748,0.512546393790595,0.1545493407189,0.0514069024451714,0.0556619998961794,0.0281766002437147,0.391874789668499,0.0790073325197879,0.827296727414278,0.056224095130812,3.07425140110466,0.879057877667007,0.280911842686847,0.728064652660739,0.314792491388543,1.95706760894314,0.180851453880258,0.321612804766565,0.190019795955845,22.2222222222222,6.25,3.6144578313253,0,0,3.38983050847458,0,56.9230769230769,0,100,10,14.4578313253012,5.55555555555556,0,81.3559322033898,0.662251655629139,0,0,22.2222222222222,2.5,2.40963855421687,0,0,1.69491525423729,0,0,0,100,13.75,15.6626506024096,5.55555555555556,0,83.0508474576271,0.662251655629139,56.9230769230769,0
COVID-Mild_08,COVID-Mild,4.67571644042232,14.3288084464555,11.6138763197587,2.11161387631976,1.80995475113122,8.5972850678733,45.3996983408748,10.8597285067873,0.603318250377074,0.474909537718934,0.150006873027499,0.0568436861727324,0.0544353074569985,0.0175712923492066,0.363544671442222,0.0858904869319924,0.516485135960825,0.427929318256208,3.32941239286266,0.906612498601168,0.353535046949922,0.731983479051679,0.301292069391555,1.98215048852079,0.200737781196388,0.27369380303911,0.596074692489564,29.0322580645161,4.21052631578947,3.8961038961039,0,0,0,0,29.1666666666667,25,100,6.31578947368421,9.09090909090909,0,0,92.9824561403509,0.332225913621262,0,25,29.0322580645161,3.15789473684211,2.5974025974026,0,0,0,0,0,0,100,7.36842105263158,10.3896103896104,0,0,92.9824561403509,0.332225913621262,29.1666666666667,50
COVID-Severe_01,COVID-Severe,2.12443095599393,8.649468892261,5.31107738998482,3.03490136570561,1.06221547799697,6.06980273141123,55.2352048558422,4.40060698027314,14.1122913505311,0.436808774765618,0.174330006677297,0.0996597924712117,0.0816147093370225,0.0368384980875589,0.422023531171132,0.0803436053242556,0.599050049755888,0.122125343392097,3.54689946081616,0.979176810928454,0.628849924094053,0.683423461604505,0.237993843911829,1.93000810482874,0.188066379910372,0.43209031140117,0.476769668702791,0,3.50877192982456,5.71428571428571,0,0,10,0,34.4827586206897,0,100,10.5263157894737,11.4285714285714,10,0,87.5,0.274725274725275,6.89655172413793,3.2258064516129,0,3.50877192982456,5.71428571428571,0,0,10,0,0,0,100,10.5263157894737,11.4285714285714,10,0,87.5,0.274725274725275,41.3793103448276,3.2258064516129
COVID-Severe_02,COVID-Severe,2.40601503759399,9.92481203007519,4.81203007518797,3.15789473684211,0.601503759398496,5.56390977443609,56.5413533834586,3.60902255639098,13.3834586466165,0.479042432031588,0.186025160648813,0.0938476137566575,0.137714061934973,0.0426742291932238,0.406799841538771,0.0864142756956059,0.507680683698797,0.110730099702769,3.27816303915348,0.919874249593703,0.734684445932779,1.08456384743534,0.265895213185165,1.94232943369739,0.209695026049666,0.485949113560009,0.424866635465664,18.75,1.51515151515152,12.5,0,0,10.8108108108108,0,16.6666666666667,0,100,10.6060606060606,15.625,19.047619047619,0,91.8918918918919,0,4.16666666666667,2.24719101123596,18.75,1.51515151515152,12.5,0,0,10.8108108108108,0,0,0,100,10.6060606060606,15.625,19.047619047619,0,91.8918918918919,0,20.8333333333333,2.24719101123596
COVID-Severe_03,COVID-Severe,3.67132867132867,7.69230769230769,3.14685314685315,3.67132867132867,0.699300699300699,4.1958041958042,59.7902097902098,2.27272727272727,14.8601398601399,0.486766888418925,0.203953273543329,0.0981698319159018,0.0912286316202686,0.0358730371143541,0.479577074968988,0.0863647007291268,0.91112830351689,0.109201121706999,3.35473052011497,0.97503856865913,0.595646714364635,0.659447112495818,0.236061701301631,1.89593859697232,0.196531151084247,0.491763509877134,0.528528045951473,23.8095238095238,2.27272727272727,5.55555555555556,0,0,8.33333333333333,0,53.8461538461538,0,85.7142857142857,11.3636363636364,11.1111111111111,4.76190476190476,0,91.6666666666667,0.292397660818713,0,0,19.047619047619,2.27272727272727,5.55555555555556,0,0,8.33333333333333,0,0,0,90.4761904761905,11.3636363636364,11.1111111111111,4.76190476190476,0,91.6666666666667,0.292397660818713,53.8461538461538,0
COVID-Severe_04,COVID-Severe,3.04975922953451,8.50722311396469,4.65489566613162,2.8892455858748,0.160513643659711,5.45746388443018,56.8218298555377,4.17335473515249,14.2857142857143,0.44585702588959,0.204013472316106,0.103417985275895,0.0909900102660945,0.0408539627340682,0.401920446946467,0.0919843346934472,0.634845165463622,0.115523860883216,3.29706838193087,0.926355180911491,0.577162041003184,0.808927748110496,0.279094563776197,1.86297077392,0.209529237243459,0.508932556721585,0.39926931758771,10.5263157894737,0,0,0,0,5.88235294117647,0,34.6153846153846,0,100,5.66037735849057,6.89655172413793,16.6666666666667,0,94.1176470588235,0,11.5384615384615,0,10.5263157894737,0,0,0,0,5.88235294117647,0,3.84615384615385,0,100,5.66037735849057,6.89655172413793,16.6666666666667,0,94.1176470588235,0,42.3076923076923,0
COVID-Severe_05,COVID-Severe,3.05084745762712,9.15254237288136,4.57627118644068,3.05084745762712,0.677966101694915,5.76271186440678,58.6440677966102,2.03389830508475,13.0508474576271,0.454354956382419,0.202464344885518,0.0964499883054558,0.0743849330667281,0.000948466511250367,0.44535429878451,0.0839568814773605,0.614574605443967,0.105235762599683,3.51359378341557,0.965799535805618,0.568195230350635,0.693612386118206,0.324740669972898,1.89359863413393,0.188775250722753,0.466880483066105,0.48752282368487,16.6666666666667,3.7037037037037,11.1111111111111,0,0,2.94117647058824,0,33.3333333333333,0,94.4444444444444,7.40740740740741,18.5185185185185,11.1111111111111,0,94.1176470588235,0.289017341040462,0,0,16.6666666666667,1.85185185185185,11.1111111111111,0,0,2.94117647058824,0,0,0,94.4444444444444,9.25925925925926,18.5185185185185,11.1111111111111,0,94.1176470588235,0.289017341040462,33.3333333333333,0
COVID-Severe_06,COVID-Severe,2.25442834138486,9.17874396135266,4.83091787439614,2.57648953301127,0.966183574879227,4.34782608695652,56.682769726248,4.18679549114332,14.975845410628,0.434821972902438,0.181292856082264,0.105640932930209,0.121603709025542,0.0348056193235534,0.380970894381026,0.0905665822466299,0.624757064833126,0.113617013587136,3.11734167678586,1.02045580273339,0.626421308901873,1.13943736392937,0.302320965074853,1.95817417621429,0.192267334702071,0.534677079642341,0.425836630414517,28.5714285714286,0,3.33333333333333,0,0,0,0,34.6153846153846,0,100,5.26315789473684,10,25,0,96.2962962962963,1.13636363636364,3.84615384615385,0,28.5714285714286,0,3.33333333333333,0,0,0,0,3.84615384615385,0,100,5.26315789473684,10,25,0,96.2962962962963,1.13636363636364,34.6153846153846,0
COVID-Severe_07,COVID-Severe,3.84024577572965,8.44854070660522,4.60829493087558,4.3010752688172,0.460829493087558,5.83717357910906,55.9139784946236,3.99385560675883,12.5960061443932,0.478760545717882,0.189661228565383,0.0979642113308269,0.0845024707294899,0.030462095788688,0.409819892520604,0.0908300384120063,0.656773691210595,0.113178080340934,3.18861010560521,0.94982138415124,0.625670585695641,0.734656157161009,0.290225341083343,2.05086373324355,0.190145460419584,0.472716057287506,0.449182794935915,12,0,3.33333333333333,0,0,2.63157894736842,0,42.3076923076923,0,96,3.63636363636364,3.33333333333333,17.8571428571429,0,97.3684210526316,0.549450549450549,15.3846153846154,0,12,0,3.33333333333333,0,0,2.63157894736842,0,7.69230769230769,0,96,3.63636363636364,3.33333333333333,17.8571428571429,0,97.3684210526316,0.549450549450549,50,0
COVID-Severe_08,COVID-Severe,3.55411954765751,6.94668820678514,3.39256865912763,3.39256865912763,0.646203554119548,5.81583198707593,57.9967689822294,3.7156704361874,14.5395799676898,0.47779985254837,0.191210748468325,0.101967697434326,0.0730002104274221,0.0384104824252358,0.442675770784005,0.0800454633987472,0.587493005707323,0.114374255674948,3.1295793395482,0.936982233775461,0.558197077262609,0.758362690408435,0.263005242138375,1.94996918266585,0.188708853757555,0.473791561716661,0.462641271222627,13.6363636363636,0,4.76190476190476,0,0,8.33333333333333,0,21.7391304347826,0,95.4545454545455,9.30232558139535,9.52380952380952,0,0,91.6666666666667,0.557103064066852,0,0,9.09090909090909,0,4.76190476190476,0,0,8.33333333333333,0,0,0,100,9.30232558139535,9.52380952380952,0,0,91.6666666666667,0.557103064066852,21.7391304347826,0
