ROI,Background,Red pulp,White pup
ROI002,105.848948979194,369.45771070584,320.619712432034
ROI004,113.265175583672,128.553490812191,470.260566069493
ROI006,126.206180514268,236.112261435106,422.283080409339
ROI008,184.959455016498,403.749922600612,230.815943990011
ROI010,157.251391090826,370.800485436575,297.117821747535
ROI012,266.400075075065,422.260583052693,35.028559776274
