ROI,Group,Cells per region -- Cell counts in Total - B cells,Cells per region -- Cell counts in Total - CD11b+ cells,Cells per region -- Cell counts in Total - CD4 T cells,Cells per region -- Cell counts in Total - CD8 T cells,Cells per region -- Cell counts in Total - Other,Cells per 100 sqr. pixels of Total -- B cells,Cells per 100 sqr. pixels of Total -- CD11b+ cells,Cells per 100 sqr. pixels of Total -- CD4 T cells,Cells per 100 sqr. pixels of Total -- CD8 T cells,Cells per 100 sqr. pixels of Total -- Other,Percent of cell type in region -- Distribution of B cells in Total,Percent of cell type in region -- Distribution of CD11b+ cells in Total,Percent of cell type in region -- Distribution of CD4 T cells in Total,Percent of cell type in region -- Distribution of CD8 T cells in Total,Percent of cell type in region -- Distribution of Other in Total,Percent of total cells in region -- Composition of Total - B cells,Percent of total cells in region -- Composition of Total - CD11b+ cells,Percent of total cells in region -- Composition of Total - CD4 T cells,Percent of total cells in region -- Composition of Total - CD8 T cells,Percent of total cells in region -- Composition of Total - Other,Av. Distance within Total -- B cells to B cells,Av. Distance within Total -- B cells to CD11b+ cells,Av. Distance within Total -- B cells to CD4 T cells,Av. Distance within Total -- B cells to CD8 T cells,Av. Distance within Total -- B cells to Other,Av. Distance within Total -- CD11b+ cells to B cells,Av. Distance within Total -- CD11b+ cells to CD11b+ cells,Av. Distance within Total -- CD11b+ cells to CD4 T cells,Av. Distance within Total -- CD11b+ cells to CD8 T cells,Av. Distance within Total -- CD11b+ cells to Other,Av. Distance within Total -- CD4 T cells to B cells,Av. Distance within Total -- CD4 T cells to CD11b+ cells,Av. Distance within Total -- CD4 T cells to CD4 T cells,Av. Distance within Total -- CD4 T cells to CD8 T cells,Av. Distance within Total -- CD4 T cells to Other,Av. Distance within Total -- CD8 T cells to B cells,Av. Distance within Total -- CD8 T cells to CD11b+ cells,Av. Distance within Total -- CD8 T cells to CD4 T cells,Av. Distance within Total -- CD8 T cells to CD8 T cells,Av. Distance within Total -- CD8 T cells to Other,Av. Distance within Total -- Other to B cells,Av. Distance within Total -- Other to CD11b+ cells,Av. Distance within Total -- Other to CD4 T cells,Av. Distance within Total -- Other to CD8 T cells,Av. Distance within Total -- Other to Other,Av. Neighbours under 20pixles in Total -- B cells to B cells,Av. Neighbours under 20pixles in Total -- B cells to CD11b+ cells,Av. Neighbours under 20pixles in Total -- B cells to CD4 T cells,Av. Neighbours under 20pixles in Total -- B cells to CD8 T cells,Av. Neighbours under 20pixles in Total -- B cells to Other,Av. Neighbours under 20pixles in Total -- CD11b+ cells to B cells,Av. Neighbours under 20pixles in Total -- CD11b+ cells to CD11b+ cells,Av. Neighbours under 20pixles in Total -- CD11b+ cells to CD4 T cells,Av. Neighbours under 20pixles in Total -- CD11b+ cells to CD8 T cells,Av. Neighbours under 20pixles in Total -- CD11b+ cells to Other,Av. Neighbours under 20pixles in Total -- CD4 T cells to B cells,Av. Neighbours under 20pixles in Total -- CD4 T cells to CD11b+ cells,Av. Neighbours under 20pixles in Total -- CD4 T cells to CD4 T cells,Av. Neighbours under 20pixles in Total -- CD4 T cells to CD8 T cells,Av. Neighbours under 20pixles in Total -- CD4 T cells to Other,Av. Neighbours under 20pixles in Total -- CD8 T cells to B cells,Av. Neighbours under 20pixles in Total -- CD8 T cells to CD11b+ cells,Av. Neighbours under 20pixles in Total -- CD8 T cells to CD4 T cells,Av. Neighbours under 20pixles in Total -- CD8 T cells to CD8 T cells,Av. Neighbours under 20pixles in Total -- CD8 T cells to Other,Av. Neighbours under 20pixles in Total -- Other to B cells,Av. Neighbours under 20pixles in Total -- Other to CD11b+ cells,Av. Neighbours under 20pixles in Total -- Other to CD4 T cells,Av. Neighbours under 20pixles in Total -- Other to CD8 T cells,Av. Neighbours under 20pixles in Total -- Other to Other
ROI002,Control,1392,208,145,206,799,27812.2016905216,4155.84622961817,2897.10434276266,4115.88616971799,15964.0439301198,100,100,100,100,100,50.6181818181818,7.56363636363636,5.27272727272727,7.49090909090909,29.0545454545455,171.441251079198,244.917932730207,237.666933897236,208.756706670771,285.580484152332,244.917932730207,281.957106050666,277.008126306813,265.660256887708,293.371076091144,237.666933897236,277.008126306813,269.102240562637,257.492630506929,282.7950175281,208.756706670772,265.660256887708,257.492630506929,237.259012819038,291.043574980636,285.580484152333,293.371076091144,282.7950175281,291.043574980636,259.341592954859,15.8419540229885,0.941810344827586,0.669540229885057,1.57543103448276,0.595545977011494,6.30288461538462,2.81730769230769,0.826923076923077,1.12980769230769,3.88461538461538,6.42758620689655,1.18620689655172,1.33793103448276,1.35862068965517,4.03448275862069,10.6456310679612,1.14077669902913,0.956310679611651,2.09708737864078,2.22815533980583,1.03754693366708,1.01126408010013,0.732165206508135,0.574468085106383,6.57321652065081
ROI004,Control,3269,159,342,309,126,65314.7179068355,3176.82476206389,6833.17024292987,6173.82925457699,2517.48377371101,100,100,100,100,100,77.7407847800238,3.78121284185493,8.13317479191439,7.34839476813318,2.99643281807372,240.116229394073,281.331978387616,258.917098727431,246.066342531011,315.39090372225,281.331978387616,307.111765025002,303.785228790552,284.214942848693,363.253076995591,258.917098727431,303.785228790552,241.165948474249,261.530683901806,256.465393184693,246.066342531011,284.214942848693,261.530683901806,249.499538174871,320.887827578863,315.39090372225,363.253076995591,256.465393184693,320.887827578863,180.070229078193,19.4977057204038,0.701743652493117,1.48883450596513,1.67023554603854,0.120526154787397,14.4276729559748,2.65408805031447,1.22012578616352,1.61635220125786,0.477987421383648,14.2309941520468,0.567251461988304,3.81286549707602,1.90643274853801,0.789473684210526,17.6699029126214,0.831715210355987,2.11003236245955,2.27184466019417,0.26537216828479,3.12698412698413,0.603174603174603,2.14285714285714,0.650793650793651,3.77777777777778
ROI006,Control,3120,249,238,242,351,62400,4980,4760,4840,7020,100,100,100,100,100,74.2857142857143,5.92857142857143,5.66666666666667,5.76190476190476,8.35714285714286,218.297600264575,290.373333906217,257.477260397385,234.204542629787,303.990223538097,290.373333906217,186.425241944781,268.132539755361,280.371895913637,227.021863043412,257.477260397385,268.132539755361,270.053399382752,261.151918729236,286.977150991059,234.204542629787,280.371895913637,261.151918729236,244.679200190254,298.134628662346,303.990223538097,227.021863043412,286.977150991059,298.134628662346,243.091440246949,21.9442307692308,0.533012820512821,0.990384615384615,1.43141025641026,0.276602564102564,6.67871485943775,4.61044176706827,1.05622489959839,0.570281124497992,4.32128514056225,12.9831932773109,1.10504201680672,3.10084033613445,1.90756302521008,1.94957983193277,18.4545454545455,0.586776859504132,1.87603305785124,2.1900826446281,0.619834710743802,2.45868945868946,3.06552706552707,1.32193732193732,0.427350427350427,5.72649572649573
ROI008,Test,73,28,867,82,635,1458.54218635638,559.440838602446,17322.6859667257,1638.36245590716,12687.3190183055,100,100,100,100,100,4.33234421364985,1.66172106824926,51.4540059347181,4.86646884272997,37.6854599406528,257.126169886183,271.499668384226,247.978246852819,243.657477278813,266.150882998654,271.499668384226,254.255237849424,263.887508097192,248.232191463205,288.131810233607,247.978246852819,263.887508097192,206.205092105191,239.159375199854,283.716277363502,243.657477278813,248.232191463205,239.159375199854,221.010615379432,246.655030675906,266.150882998654,288.131810233607,283.716277363502,246.655030675906,243.135893534397,1.12328767123288,0.26027397260274,5.56164383561644,0.602739726027397,3.27397260273973,0.678571428571429,1.35714285714286,2.82142857142857,0.75,4.14285714285714,0.468281430219147,0.091118800461361,9.13956170703575,0.510957324106113,1.55594002306805,0.536585365853659,0.25609756097561,5.40243902439024,0.926829268292683,3.24390243902439,0.376377952755906,0.182677165354331,2.1244094488189,0.418897637795276,4.22992125984252
ROI010,Test,265,120,352,90,474,5294.70793677315,2397.60359401048,7032.97054243074,1798.20269550786,9470.5341963414,100,100,100,100,100,20.3689469638739,9.22367409684858,27.0561106840892,6.91775557263643,36.4335126825519,182.591146256265,191.337822997719,220.820674727476,221.164663689735,263.305606945761,191.337822997719,182.730417138498,228.071750046372,216.269576560206,240.729202173004,220.820674727476,228.071750046372,231.248334412612,238.883810484478,273.515878085991,221.164663689735,216.269576560206,238.883810484478,230.882217876887,247.432520126506,263.305606945761,240.729202173004,273.515878085991,247.432520126506,233.48396909989,4.6188679245283,0.939622641509434,2.44150943396226,0.943396226415094,1.17358490566038,2.075,2.96666666666667,1.675,0.691666666666667,2.33333333333333,1.83806818181818,0.571022727272727,3.72727272727273,0.605113636363636,1.54261363636364,2.77777777777778,0.922222222222222,2.36666666666667,0.733333333333333,2.13333333333333,0.656118143459916,0.590717299578059,1.14556962025316,0.405063291139241,3.29113924050633
ROI012,Test,74,157,144,65,987,1478.52221630646,3136.86470216371,2877.12431281258,1298.70194675568,19720.2895607362,100,100,100,100,100,5.18570427470217,11.0021023125438,10.0911002102313,4.55501051156272,69.1660826909601,257.095507106555,307.951283610361,283.327086719508,274.526974522083,276.08935894079,307.951283610361,238.161043246849,275.573050950762,286.412994018882,280.824214073084,283.327086719508,275.573050950762,278.748077062746,277.420247598578,275.071032093003,274.526974522083,286.412994018882,277.420247598578,274.954091640609,271.329451303714,276.08935894079,280.824214073084,275.071032093003,271.329451303714,268.974887560024,1.16216216216216,0.432432432432432,1.14864864864865,0.472972972972973,4.7972972972973,0.203821656050955,3.38853503184713,1.14649681528662,0.54140127388535,5.26751592356688,0.590277777777778,1.25,1.33333333333333,0.520833333333333,5.48611111111111,0.538461538461538,1.30769230769231,1.15384615384615,0.430769230769231,5.16923076923077,0.3596757852077,0.837892603850051,0.800405268490375,0.340425531914894,5.51367781155015
